"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @khabareonline: India’s oldest lawyer is Kejriwal's newest worry, may leave him Rs 20 cr poorer https://t.co/xQJQ1cKMvv https://t.co/xMf…",FALSE,0,NA,2017-05-22 19:45:11,FALSE,NA,"866741750332895235",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AnshuRathore99",25,TRUE,FALSE,NA,NA
"2","RT @NH_India: #jaitley had earlier filed a #defamationcase earlier against #Kejriwal &amp; 5 other AAP leaders 
https://t.co/5aTePDZqwk",FALSE,0,NA,2017-05-22 19:44:31,FALSE,NA,"866741584884150272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NSUIAndhra",12,TRUE,FALSE,NA,NA
"3","RT @TimesNow: ACB raids residence of Delhi CM Arvind Kejriwal’s late brother-in-law, seize documents in connection with PWD scam https://t.…",FALSE,0,NA,2017-05-22 19:43:45,FALSE,NA,"866741390398468096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","1420kunal",178,TRUE,FALSE,NA,NA
"4","RT @TimesNow: ACB raids residence of Delhi CM Arvind Kejriwal’s late brother-in-law, seize documents in connection with PWD scam https://t.…",FALSE,0,NA,2017-05-22 19:43:13,FALSE,NA,"866741258596663296",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AmolTikam",178,TRUE,FALSE,NA,NA
"5","@AnkitLal @kumarsailesh063 @ArvindKejriwal Kejriwal sahab you are giving yourself honest -certificate in front of a… https://t.co/FZ7w66Nk7Y",FALSE,0,"AnkitLal",2017-05-22 19:43:07,TRUE,"866324780043063297","866741232789336066","72034591","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gopteshwar",0,FALSE,FALSE,NA,NA
"6","RT @ShatruganSinha: Individually I hold all political leaders, esp Kejriwal, in high esteem for their credibility, struggle &amp; commitment to…",FALSE,0,NA,2017-05-22 19:43:03,FALSE,NA,"866741213998841856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_Criticism_",1299,TRUE,FALSE,NA,NA
"7","RT @republic: #BREAKING ACB top sources to Republic TV: Projects involving Kejriwal's kin under scanner",FALSE,0,NA,2017-05-22 19:42:54,FALSE,NA,"866741178426769408",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Apurvgu68761514",67,TRUE,FALSE,NA,NA
"8","RT @republic: #BREAKING ACB carries out raids at Kejriwal's late brother-in-law's residence and office of two companies",FALSE,0,NA,2017-05-22 19:42:39,FALSE,NA,"866741114665095169",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dhar2250",146,TRUE,FALSE,NA,NA
"9","RT @_YogendraYadav: My open letter to Kapil Mishra
A request: full disclosure
A suggestion: stop daily press conf against Kejriwal
https://…",FALSE,0,NA,2017-05-22 19:42:35,FALSE,NA,"866741096549765120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Y4Skrishna",248,TRUE,FALSE,NA,NA
"10","@drrakeshparikh @CNBC_Awaaz Nope. During market hours yes, but rest of the day it is for general public. But yes on… https://t.co/ALkvx4vBh1",FALSE,0,"drrakeshparikh",2017-05-22 19:42:27,TRUE,"866740699152211969","866741062122913792","19184771","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","StuteeMishra",0,FALSE,FALSE,NA,NA
