"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@PMOIndia I m cheated by @riteshagar  brand Oyo rooms.they have no values for customer concerns.",FALSE,0,"PMOIndia",2017-06-13 15:28:12,FALSE,NA,"874649611671097344","471741741","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Anknokia1987",0,FALSE,FALSE,NA,NA
"2","Searching rooms on oyo, under time crunch. @reliancejio : you know what bro, aaj tu sadak pe hi so",FALSE,0,NA,2017-06-13 15:07:39,FALSE,NA,"874644441147076609",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ak5hay_acharya",0,FALSE,FALSE,NA,NA
"3","@riteshagar Hi Ritesh it's Ashish from Orange Art Party. Looking to speak to you about Collaborative Art experience for OYO Rooms' guests :)",FALSE,0,"riteshagar",2017-06-13 10:02:12,FALSE,NA,"874567572829622272","83598887","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","OrangeArtParty",0,FALSE,FALSE,NA,NA
"4","RT @ourownstartup: Ritesh Agarwal: The man behind OYO Rooms: https://t.co/MLvP5UlOKa
#OYO #startup #Entrepreneurship #entrepreneur",FALSE,0,NA,2017-06-13 08:05:45,FALSE,NA,"874538267483422720",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","iSinghRohit",2,TRUE,FALSE,NA,NA
"5","What people do with 50-60 rooms they  booked with oyo in one go?",FALSE,0,NA,2017-06-13 07:03:11,FALSE,NA,"874522522863099904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MANISHNIFT",0,FALSE,FALSE,NA,NA
"6","Try out the OYO Rooms App and get <U+20B9>1000 worth OYO Money.  Download link: https://t.co/obiu85TsUk referral code: OMETRQPZ5",FALSE,0,NA,2017-06-13 06:08:20,FALSE,NA,"874508717160632320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dwivediomshiv",0,FALSE,FALSE,NA,NA
"7","Oyo Rooms Near Lic Square https://t.co/EkGrtNBg4T #hotels",FALSE,0,NA,2017-06-12 21:06:23,FALSE,NA,"874372332675936256",NA,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>","jimmycouts",0,FALSE,FALSE,NA,NA
"8","Oyo Rooms Near Lic Square https://t.co/hDMvsEvZU7 #hotels",FALSE,0,NA,2017-06-12 21:06:23,FALSE,NA,"874372331463888897",NA,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>","BizPlanEx",0,FALSE,FALSE,NA,NA
"9","Oyo Rooms Near Lic Square https://t.co/hnRqndcuDe #hotels",FALSE,0,NA,2017-06-12 21:06:23,FALSE,NA,"874372330251628545",NA,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>","winnviewdotcom",0,FALSE,FALSE,NA,NA
"10","Try out the OYO Rooms App and get <U+20B9>1000 worth OYO Money.  Download link: https://t.co/SCeiSnI22H referral code: SANTBV5MLga",FALSE,0,NA,2017-06-12 18:40:27,FALSE,NA,"874335605383077888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Santosh657171",0,FALSE,FALSE,NA,NA
